rank Youtuber subscribers video_views category Title uploads Country Abbreviation channel_type video_views_rank country_rank channel_type_rank video_views_for_the_last_30_days lowest_monthly_earnings highest_monthly_earnings lowest_yearly_earnings highest_yearly_earnings subscribers_for_last_30_days created_year created_month created_date Gross_tertiary_education_enrollment_(%) Population Unemployment_rate Urban_population Latitude Longitude
1 T-Series 245000000 2.28E+11 Music T-Series 20082 India IN Music 1 1 1 2258000000 564600 9000000 6800000 108400000 2000000 2006 Mar 13 28.1 1366417754 5.36 471031528 20.593684 78.96288
2 YouTube_Movies 170000000 0 Film_&_Animation youtubemovies 1 United_States US Games 4055159 7670 7423 12 0 0.05 0.04 0.58 nan 2006 Mar 5 88.2 328239523 14.7 270663028 37.09024 -95.712891
3 MrBeast 166000000 28368841870 Entertainment MrBeast 741 United_States US Entertainment 48 1 1 1348000000 337000 5400000 4000000 64700000 8000000 2012 Feb 20 88.2 328239523 14.7 270663028 37.09024 -95.712891
4 Cocomelon_-_Nursery_Rhymes 162000000 1.64E+11 Education Cocomelon_-_Nursery_Rhymes 966 United_States US Education 2 2 1 1975000000 493800 7900000 5900000 94800000 1000000 2006 Sep 1 88.2 328239523 14.7 270663028 37.09024 -95.712891
5 SET_India 159000000 1.48E+11 Shows SET_India 116536 India IN Entertainment 3 2 2 1824000000 455900 7300000 5500000 87500000 1000000 2006 Sep 20 28.1 1366417754 5.36 471031528 20.593684 78.96288
6 Music 119000000 0 nan Music 0 nan nan Music 4057944 nan nan nan 0 0 0 0 nan 2013 Sep 24 nan nan nan nan nan nan
7 ýýý_Kids_Diana_Show 112000000 93247040539 People_&_Blogs ýýý_Kids_Diana_Show 1111 United_States US Entertainment 5 3 3 731674000 182900 2900000 2200000 35100000 nan 2015 May 12 88.2 328239523 14.7 270663028 37.09024 -95.712891
8 PewDiePie 111000000 29058044447 Gaming PewDiePie 4716 Japan JP Entertainment 44 1 4 39184000 9800 156700 117600 1900000 nan 2010 Apr 29 63.2 126226568 2.29 115782416 36.204824 138.252924
9 Like_Nastya 106000000 90479060027 People_&_Blogs Like_Nastya_Vlog 493 Russia RU People 630 5 25 48947000 12200 195800 146800 2300000 100000 2016 Jan 14 81.9 144373535 4.59 107683889 61.52401 105.318756
10 Vlad_and_Niki 98900000 77180169894 Entertainment Vlad_and_Niki 574 United_States US Entertainment 8 5 6 580574000 145100 2300000 1700000 27900000 600000 2018 Apr 23 88.2 328239523 14.7 270663028 37.09024 -95.712891
11 Zee_Music_Company 96700000 57856289381 Music Zee_Music_Company 8548 India IN Music 12 3 2 803613000 200900 3200000 2400000 38600000 1100000 2014 Mar 12 28.1 1366417754 5.36 471031528 20.593684 78.96288
12 WWE 96000000 77428473662 Sports WWE 70127 United_States US Sports 7 6 1 714614000 178700 2900000 2100000 34300000 600000 2007 May 11 88.2 328239523 14.7 270663028 37.09024 -95.712891
13 Gaming 93600000 0 nan Gaming 0 nan nan Games 4057944 nan 1 nan 0 0 0 0 nan 2013 Dec 15 nan nan nan nan nan nan
14 BLACKPINK 89800000 32144597566 People_&_Blogs BLACKPINK 543 South_Korea KR Music 32 1 3 498930000 124700 2000000 1500000 23900000 700000 2016 Jun 29 94.3 51709098 4.15 42106719 35.907757 127.766922
15 Goldmines 86900000 24118230580 Film_&_Animation goldmines 1 nan nan Music 4056562 nan 5663 18 0 0.07 0.05 0.86 nan 2006 Aug 15 nan nan nan nan nan nan
16 Sony_SAB 83000000 1.01E+11 Shows Sony_SAB 71270 India IN Entertainment 4 5 7 1657000000 414300 6600000 5000000 79600000 1100000 2007 Aug 4 28.1 1366417754 5.36 471031528 20.593684 78.96288
17 5-Minute_Crafts 80100000 26236790209 Howto_&_Style 5-Minute_Crafts_2.0 1 United_Kingdom GB Entertainment 4057901 4797 6781 1 0 0 0 0.05 nan 2020 Jul 27 60 66834405 3.85 55908316 55.378051 -3.435973
18 BANGTANTV 75600000 20826993957 Music BANGTANTV 2281 South_Korea KR Music 112 2 4 168290000 42100 673200 504900 8100000 400000 2012 Dec 17 94.3 51709098 4.15 42106719 35.907757 127.766922
19 Sports 75000000 0 nan sports 3 United_States US Entertainment 3898122 6266 5395 16 0 0.06 0.05 0.77 nan 2006 Jan 30 88.2 328239523 14.7 270663028 37.09024 -95.712891
20 Justin_Bieber 71600000 30608119724 Music Justin_Bieber 249 Canada CA Music 38 1 6 176326000 44100 705300 529000 8500000 100000 2007 Jan 15 68.9 36991981 5.56 30628482 56.130366 -106.346771
21 HYBE_LABELS 71300000 28634566938 Music HYBE_LABELS 1337 South_Korea KR Music 46 3 5 598173000 149500 2400000 1800000 28700000 900000 2008 Jun 4 94.3 51709098 4.15 42106719 35.907757 127.766922
22 Zee_TV 70500000 73139054467 Entertainment Zee_TV 129204 India IN Entertainment 9 6 8 1707000000 426800 6800000 5100000 81900000 900000 2005 Dec 11 28.1 1366417754 5.36 471031528 20.593684 78.96288
23 Pinkfong_Baby_Shark_-_Kids'_Songs_&_Stories 68200000 38843229963 Education Pinkfong_Baby_Shark_-_Kids'_Songs_&_Stories 2865 United_States US Education 23 8 2 473387000 118300 1900000 1400000 22700000 600000 2011 Dec 14 88.2 328239523 14.7 270663028 37.09024 -95.712891
24 Canal_KondZilla 66500000 36775585925 Music Canal_KondZilla 2572 Brazil BR Music 25 1 7 447223000 0 0 0 0 nan 2012 Mar 21 51.3 212559417 12.08 183241641 -14.235004 -51.92528
25 ChuChu_TV_Nursery_Rhymes_&_Kids_Songs 65900000 45757850229 Education ChuChu_TV_Nursery_Rhymes_&_Kids_Songs 633 India IN Education 18 7 3 420292000 105100 1700000 1300000 20200000 500000 2013 Feb 9 28.1 1366417754 5.36 471031528 20.593684 78.96288
26 Shemaroo_Filmi_Gaane 65600000 28648024439 Music Shemaroo_Filmi_Gaane 8502 India IN Music 47 8 8 254961000 63700 1000000 764900 12200000 400000 2010 Jun 11 28.1 1366417754 5.36 471031528 20.593684 78.96288
27 Colors_TV 64600000 61510906457 Shows Colors_TV 112915 India IN Entertainment 10 9 9 1188000000 296900 4800000 3600000 57000000 1100000 2008 Jun 13 28.1 1366417754 5.36 471031528 20.593684 78.96288
28 T-Series_Bhakti_Sagar 61000000 29533230328 Music T-_SERIES_BHAKTI_SAGAR 13 India IN Music 4053938 5803 5744 10 0 0.04 0.03 0.48 nan 2018 Aug 3 28.1 1366417754 5.36 471031528 20.593684 78.96288
29 Dude_Perfect 59500000 16241549158 Sports Dude_Perfect 389 United_States US Sports 182 9 3 141200000 35300 564800 423600 6800000 100000 2009 Mar 17 88.2 328239523 14.7 270663028 37.09024 -95.712891
30 Movieclips 59500000 59316472754 Film_&_Animation Movieclips 39113 United_States US Film 11 9 3 114668000 28700 458700 344000 5500000 100000 2006 Apr 28 88.2 328239523 14.7 270663028 37.09024 -95.712891
31 Tips_Official 59300000 33431802698 Music Tips_Official 4741 India IN Music 30 11 10 422634000 105700 1700000 1300000 20300000 600000 2007 May 22 28.1 1366417754 5.36 471031528 20.593684 78.96288
32 El_Reino_Infantil 58400000 57271630846 Music El_Reino_Infantil 1510 Argentina AR Music 13 1 11 611828000 153000 2400000 1800000 29400000 600000 2011 Jun 2 90 44938712 9.79 41339571 -38.416097 -63.616672
33 Wave_Music 58000000 40602020243 Music Wave_Music 19487 India IN Music 21 12 12 232025000 58000 928100 696100 11100000 500000 2014 Oct 29 28.1 1366417754 5.36 471031528 20.593684 78.96288
34 Aaj_Tak 57600000 25307753534 News_&_Politics Aaj_Tak 283775 India IN News 71 13 1 461148000 115300 1800000 1400000 22100000 500000 2009 Aug 27 28.1 1366417754 5.36 471031528 20.593684 78.96288
35 Sony_Music_India 57200000 28837144516 Music Sony_Music_India 3882 India IN Music 45 14 13 259310000 64800 1000000 777900 12400000 300000 2009 Sep 2 28.1 1366417754 5.36 471031528 20.593684 78.96288
36 EminemMusic 56900000 27073872856 Music EminemMusic 156 United_States US Music 59 10 14 260193000 65000 1000000 780600 12500000 300000 2007 Feb 9 88.2 328239523 14.7 270663028 37.09024 -95.712891
37 Marshmello 56400000 14696003229 Entertainment Marshmello 436 United_States US Music 233 11 15 112100000 28000 448400 336300 5400000 100000 2015 Apr 6 88.2 328239523 14.7 270663028 37.09024 -95.712891
38 YRF 54600000 35302243691 Film_&_Animation YRF 3707 India IN Music 28 15 16 512093000 128000 2000000 1500000 24600000 500000 2006 Jun 7 28.1 1366417754 5.36 471031528 20.593684 78.96288
39 LooLoo_Kids_-_Nursery_Rhymes_and_Children's_Songs 54000000 32312431239 Music LooLoo_Kids_-_Nursery_Rhymes_and_Children's_ï¿½ 11 nan nan nan 3800129 nan nan 159 0.04 0.64 0.48 8 nan 2016 Nov 29 nan nan nan nan nan nan
40 Ed_Sheeran 53500000 30367676736 Music Ed_Sheeran 383 United_Kingdom GB Music 39 1 18 202720000 50700 810900 608200 9700000 100000 2006 Aug 8 60 66834405 3.85 55908316 55.378051 -3.435973
41 Infobells_-_Hindi 53300000 30516172739 Education Infobells_-_Hindi 577 India IN Education 37 16 4 815949000 204000 3300000 2400000 39200000 1600000 2014 Jun 6 28.1 1366417754 5.36 471031528 20.593684 78.96288
